id,gsn,shardId,latency(ns),dataGenTime(ns),totalBytes,totalTime(ns)
0,100,0,3528146,18990,625000,18141478017
1,114,0,3166620,281,625000,18141478017
2,126,0,3150003,267,625000,18141478017
3,138,0,3018481,5095,625000,18141478017
4,153,0,2298716,635,625000,18141478017
5,162,0,2092089,291,625000,18141478017
6,178,0,4479198,331,625000,18141478017
7,193,0,2239310,339,625000,18141478017
8,209,0,2085052,449,625000,18141478017
9,225,0,2979240,557,625000,18141478017
10,239,0,2241111,576,625000,18141478017
11,258,0,2843483,511,625000,18141478017
12,275,0,3765555,355,625000,18141478017
13,292,0,2318255,406,625000,18141478017
14,306,0,3178215,344,625000,18141478017
15,324,0,2699783,546,625000,18141478017
16,338,0,4530017,655,625000,18141478017
17,352,0,2716778,524,625000,18141478017
18,367,0,2802545,644,625000,18141478017
19,389,0,3204924,678,625000,18141478017
20,405,0,8177151,698,625000,18141478017
21,421,0,2490602,739,625000,18141478017
22,436,0,3654150,598,625000,18141478017
23,456,0,3600665,658,625000,18141478017
24,466,0,4364523,471,625000,18141478017
25,482,0,2366302,541,625000,18141478017
26,496,0,2198520,415,625000,18141478017
27,516,0,2801030,658,625000,18141478017
28,530,0,3915454,381,625000,18141478017
29,544,0,2438661,672,625000,18141478017
30,561,0,3159969,475,625000,18141478017
31,577,0,2925160,421,625000,18141478017
32,593,0,3180854,594,625000,18141478017
33,610,0,2569106,497,625000,18141478017
34,629,0,2816136,414,625000,18141478017
35,646,0,3268573,655,625000,18141478017
36,664,0,3105054,585,625000,18141478017
37,684,0,3034980,487,625000,18141478017
38,702,0,3491534,618,625000,18141478017
39,718,0,2307548,552,625000,18141478017
40,729,0,3448059,582,625000,18141478017
41,750,0,2699339,609,625000,18141478017
42,762,0,3534073,645,625000,18141478017
43,775,0,2233862,729,625000,18141478017
44,797,0,3105286,571,625000,18141478017
45,806,0,3129176,324,625000,18141478017
46,824,0,2644385,558,625000,18141478017
47,839,0,2332768,452,625000,18141478017
48,855,0,2882623,438,625000,18141478017
49,870,0,2226225,339,625000,18141478017
50,883,0,2774975,426,625000,18141478017
51,901,0,2956480,561,625000,18141478017
52,918,0,3182102,411,625000,18141478017
53,934,0,3934356,307,625000,18141478017
54,952,0,2873366,235,625000,18141478017
55,964,0,2668100,585,625000,18141478017
56,983,0,3387273,622,625000,18141478017
57,1005,0,3440461,685,625000,18141478017
58,1022,0,3712815,681,625000,18141478017
59,1037,0,2862515,591,625000,18141478017
60,1058,0,3294359,557,625000,18141478017
61,1073,0,2698825,516,625000,18141478017
62,1092,0,3107189,515,625000,18141478017
63,1110,0,2926675,581,625000,18141478017
64,1129,0,3139184,469,625000,18141478017
65,1144,0,3284656,638,625000,18141478017
66,1164,0,2879671,671,625000,18141478017
67,1176,0,2439989,378,625000,18141478017
68,1183,0,2328692,367,625000,18141478017
69,1200,0,3199699,281,625000,18141478017
70,1216,0,2901485,418,625000,18141478017
71,1232,0,2485114,348,625000,18141478017
72,1248,0,2143142,479,625000,18141478017
73,1261,0,2768329,502,625000,18141478017
74,1270,0,2082453,635,625000,18141478017
75,1286,0,2032278,424,625000,18141478017
76,1302,0,3537622,376,625000,18141478017
77,1318,0,2472510,345,625000,18141478017
78,1334,0,2206307,211,625000,18141478017
79,1352,0,4003747,565,625000,18141478017
80,1368,0,3364835,659,625000,18141478017
81,1384,0,2550399,654,625000,18141478017
82,1393,0,1873301,513,625000,18141478017
83,1405,0,2356659,538,625000,18141478017
84,1420,0,3038900,711,625000,18141478017
85,1441,0,2796741,585,625000,18141478017
86,1457,0,3132409,592,625000,18141478017
87,1475,0,2964418,489,625000,18141478017
88,1488,0,2953296,234,625000,18141478017
89,1506,0,3142570,578,625000,18141478017
90,1523,0,2402111,238,625000,18141478017
91,1538,0,1993129,632,625000,18141478017
92,1549,0,2103953,464,625000,18141478017
93,1561,0,1927117,337,625000,18141478017
94,1579,0,3237521,591,625000,18141478017
95,1592,0,3050172,658,625000,18141478017
96,1610,0,3120962,564,625000,18141478017
97,1629,0,3013844,1032,625000,18141478017
98,1645,0,3311553,608,625000,18141478017
99,1658,0,3136702,598,625000,18141478017
100,1675,0,2390288,341,625000,18141478017
101,1692,0,2852341,311,625000,18141478017
102,1710,0,2175392,508,625000,18141478017
103,1720,0,2268095,209,625000,18141478017
104,1738,0,2470885,568,625000,18141478017
105,1753,0,2481235,278,625000,18141478017
106,1773,0,2845596,303,625000,18141478017
107,1785,0,2991881,578,625000,18141478017
108,1801,0,3208229,336,625000,18141478017
109,1819,0,3026621,535,625000,18141478017
110,1834,0,3071852,368,625000,18141478017
111,1841,0,2381063,408,625000,18141478017
112,1858,0,2083757,293,625000,18141478017
113,1874,0,1790632,218,625000,18141478017
114,1886,0,4204325,276,625000,18141478017
