id,gsn,shardId,latency(ns),dataGenTime(ns),totalBytes,totalTime(ns)
0,159,0,3124847,31526,625000,18616778693
1,172,0,5267596,568,625000,18616778693
2,186,0,2272025,491,625000,18616778693
3,207,0,2004738,401,625000,18616778693
4,216,0,2800580,376,625000,18616778693
5,232,0,2356976,329,625000,18616778693
6,247,0,2782855,299,625000,18616778693
7,269,0,3674412,373,625000,18616778693
8,286,0,2615771,431,625000,18616778693
9,304,0,3057204,421,625000,18616778693
10,318,0,2850761,649,625000,18616778693
11,330,0,4187089,356,625000,18616778693
12,347,0,3016923,411,625000,18616778693
13,362,0,2660216,668,625000,18616778693
14,380,0,3318224,502,625000,18616778693
15,401,0,8043480,376,625000,18616778693
16,416,0,2742701,665,625000,18616778693
17,430,0,3319378,661,625000,18616778693
18,452,0,4222468,705,625000,18616778693
19,473,0,4471907,484,625000,18616778693
20,486,0,2695661,608,625000,18616778693
21,502,0,2407932,585,625000,18616778693
22,519,0,3789185,698,625000,18616778693
23,539,0,3741879,709,625000,18616778693
24,552,0,2392547,545,625000,18616778693
25,566,0,3590217,428,625000,18616778693
26,583,0,2078996,722,625000,18616778693
27,599,0,2320013,648,625000,18616778693
28,615,0,2624585,638,625000,18616778693
29,626,0,2168643,515,625000,18616778693
30,643,0,3235897,554,625000,18616778693
31,655,0,3025999,682,625000,18616778693
32,674,0,2924576,568,625000,18616778693
33,687,0,3371527,521,625000,18616778693
34,706,0,2717803,701,625000,18616778693
35,726,0,3006677,552,625000,18616778693
36,741,0,3029351,665,625000,18616778693
37,755,0,3430157,675,625000,18616778693
38,781,0,3544612,310,625000,18616778693
39,794,0,2192916,213,625000,18616778693
40,809,0,3794607,171,625000,18616778693
41,826,0,2778659,232,625000,18616778693
42,849,0,3262776,651,625000,18616778693
43,866,0,2876303,668,625000,18616778693
44,877,0,3014037,367,625000,18616778693
45,894,0,2504761,668,625000,18616778693
46,910,0,2834331,541,625000,18616778693
47,927,0,3536255,390,625000,18616778693
48,940,0,2634479,501,625000,18616778693
49,956,0,3051114,372,625000,18616778693
50,974,0,3457358,292,625000,18616778693
51,993,0,2801994,488,625000,18616778693
52,1007,0,2272108,278,625000,18616778693
53,1018,0,2971912,530,625000,18616778693
54,1034,0,2752953,651,625000,18616778693
55,1049,0,3130746,281,625000,18616778693
56,1066,0,2639143,559,625000,18616778693
57,1082,0,1979023,627,625000,18616778693
58,1098,0,2113665,415,625000,18616778693
59,1105,0,2459381,315,625000,18616778693
60,1120,0,3128184,381,625000,18616778693
61,1137,0,3033697,410,625000,18616778693
62,1152,0,3163316,602,625000,18616778693
63,1168,0,2372471,193,625000,18616778693
64,1189,0,3083193,257,625000,18616778693
65,1204,0,4627996,273,625000,18616778693
66,1225,0,2818688,531,625000,18616778693
67,1237,0,2545684,554,625000,18616778693
68,1255,0,2953457,1179,625000,18616778693
69,1278,0,3158158,541,625000,18616778693
70,1292,0,3333154,535,625000,18616778693
71,1308,0,2900939,635,625000,18616778693
72,1326,0,2782504,288,625000,18616778693
73,1343,0,3874329,535,625000,18616778693
74,1357,0,3135834,678,625000,18616778693
75,1372,0,2555670,410,625000,18616778693
76,1389,0,2189104,622,625000,18616778693
77,1402,0,2322026,381,625000,18616778693
78,1418,0,2918024,578,625000,18616778693
79,1434,0,2962781,679,625000,18616778693
80,1450,0,3131516,672,625000,18616778693
81,1466,0,2878119,160,625000,18616778693
82,1485,0,2825854,529,625000,18616778693
83,1501,0,3310562,632,625000,18616778693
84,1520,0,2307972,628,625000,18616778693
85,1529,0,2357497,267,625000,18616778693
86,1551,0,2798635,548,625000,18616778693
87,1567,0,1887600,471,625000,18616778693
88,1584,0,3815887,314,625000,18616778693
89,1598,0,2531257,336,625000,18616778693
90,1616,0,3232386,501,625000,18616778693
91,1632,0,3541201,304,625000,18616778693
92,1649,0,3262979,418,625000,18616778693
93,1667,0,2933224,641,625000,18616778693
94,1680,0,1867423,438,625000,18616778693
95,1696,0,2093912,357,625000,18616778693
96,1706,0,2029111,304,625000,18616778693
97,1723,0,2993535,664,625000,18616778693
98,1744,0,3079124,588,625000,18616778693
99,1761,0,3286495,601,625000,18616778693
100,1776,0,3166944,241,625000,18616778693
101,1797,0,2822530,532,625000,18616778693
102,1809,0,2766414,525,625000,18616778693
103,1825,0,4159632,668,625000,18616778693
104,1846,0,3559700,648,625000,18616778693
105,1862,0,2183849,448,625000,18616778693
106,1879,0,4624930,374,625000,18616778693
107,1894,0,2246731,513,625000,18616778693
108,1911,0,2772434,618,625000,18616778693
109,1927,0,3778451,420,625000,18616778693
110,1943,0,2789607,371,625000,18616778693
111,1959,0,2874519,642,625000,18616778693
112,1974,0,3065244,477,625000,18616778693
113,1990,0,3164761,204,625000,18616778693
114,2007,0,2795932,591,625000,18616778693
115,2022,0,2981376,598,625000,18616778693
116,2038,0,3323014,521,625000,18616778693
117,2054,0,2884613,253,625000,18616778693
118,2076,0,2691301,431,625000,18616778693
119,2090,0,3303127,588,625000,18616778693
120,2108,0,3082288,397,625000,18616778693
121,2128,0,2390358,441,625000,18616778693
122,2142,0,1863707,475,625000,18616778693
123,2156,0,2995812,501,625000,18616778693
124,2171,0,2008001,585,625000,18616778693
125,2190,0,2709005,665,625000,18616778693
126,2202,0,2588473,428,625000,18616778693
127,2222,0,3267371,622,625000,18616778693
128,2238,0,2914806,367,625000,18616778693
129,2254,0,3047344,511,625000,18616778693
130,2271,0,3127881,564,625000,18616778693
131,2285,0,4493978,658,625000,18616778693
132,2302,0,3701679,472,625000,18616778693
133,2324,0,2877108,678,625000,18616778693
134,2334,0,3585025,538,625000,18616778693
135,2360,0,3146513,642,625000,18616778693
136,2377,0,2913166,359,625000,18616778693
137,2391,0,2891884,544,625000,18616778693
138,2407,0,3010346,516,625000,18616778693
139,2429,0,2790703,418,625000,18616778693
140,2438,0,3027811,1359,625000,18616778693
141,2450,0,4263807,457,625000,18616778693
142,2474,0,3114426,491,625000,18616778693
143,2489,0,3135605,441,625000,18616778693
144,2504,0,3037195,467,625000,18616778693
145,2521,0,3122765,585,625000,18616778693
146,2534,0,2440225,348,625000,18616778693
147,2556,0,4296387,561,625000,18616778693
148,2572,0,3291200,349,625000,18616778693
149,2590,0,2413542,645,625000,18616778693
150,2606,0,2776383,839,625000,18616778693
151,2619,0,2230090,548,625000,18616778693
152,2638,0,3758892,725,625000,18616778693
153,2661,0,3391223,672,625000,18616778693
154,2677,0,2853393,735,625000,18616778693
155,2688,0,2220115,218,625000,18616778693
156,2701,0,2545891,195,625000,18616778693
157,2718,0,6922464,614,625000,18616778693
158,2733,0,2589312,258,625000,18616778693
159,2749,0,2766077,369,625000,18616778693
160,2769,0,2627668,688,625000,18616778693
161,2781,0,2298487,188,625000,18616778693
162,2796,0,1818119,495,625000,18616778693
163,2811,0,3866208,330,625000,18616778693
164,2825,0,2725388,308,625000,18616778693
165,2842,0,3140213,439,625000,18616778693
166,2862,0,2768692,722,625000,18616778693
167,2878,0,2841381,621,625000,18616778693
168,2890,0,2885823,699,625000,18616778693
169,2906,0,1732670,267,625000,18616778693
170,2922,0,2643703,594,625000,18616778693
171,2938,0,2374980,491,625000,18616778693
172,2947,0,2774774,698,625000,18616778693
173,2962,0,4809725,378,625000,18616778693
174,2977,0,3111076,353,625000,18616778693
175,2990,0,2784473,581,625000,18616778693
176,3003,0,2699654,297,625000,18616778693
177,3023,0,2963483,712,625000,18616778693
178,3039,0,2967666,659,625000,18616778693
179,3057,0,2572047,571,625000,18616778693
180,3073,0,2366471,358,625000,18616778693
181,3088,0,2305985,420,625000,18616778693
182,3105,0,3237824,552,625000,18616778693
183,3122,0,4756630,558,625000,18616778693
184,3136,0,2590883,658,625000,18616778693
185,3155,0,2913149,701,625000,18616778693
186,3168,0,2533743,391,625000,18616778693
187,3186,0,4042095,321,625000,18616778693
188,3200,0,2819774,515,625000,18616778693
189,3220,0,4420046,658,625000,18616778693
190,3239,0,2498388,642,625000,18616778693
191,3253,0,2951297,180,625000,18616778693
192,3273,0,3236454,732,625000,18616778693
193,3289,0,3085415,551,625000,18616778693
194,3305,0,3088168,601,625000,18616778693
195,3323,0,2568261,591,625000,18616778693
196,3341,0,2861661,395,625000,18616778693
197,3355,0,1990147,446,625000,18616778693
198,3368,0,2430725,465,625000,18616778693
199,3385,0,3073386,642,625000,18616778693
200,3409,0,2862026,625,625000,18616778693
201,3422,0,2894482,732,625000,18616778693
202,3442,0,3484441,708,625000,18616778693
203,3460,0,2516806,610,625000,18616778693
204,3474,0,3240152,605,625000,18616778693
205,3489,0,2947673,398,625000,18616778693
206,3505,0,3138953,294,625000,18616778693
207,3523,0,2545451,545,625000,18616778693
208,3538,0,3091332,513,625000,18616778693
209,3554,0,3233994,364,625000,18616778693
210,3571,0,3235602,488,625000,18616778693
211,3588,0,2535466,688,625000,18616778693
212,3609,0,3303243,552,625000,18616778693
213,3624,0,3094907,461,625000,18616778693
214,3640,0,2923242,340,625000,18616778693
215,3658,0,2593950,585,625000,18616778693
216,3673,0,3136648,431,625000,18616778693
217,3700,0,2345112,501,625000,18616778693
218,3717,0,3270006,518,625000,18616778693
219,3733,0,3655901,598,625000,18616778693
220,3743,0,3150644,592,625000,18616778693
221,3763,0,2810359,8539,625000,18616778693
222,3775,0,3364039,417,625000,18616778693
223,3793,0,2682336,445,625000,18616778693
224,3813,0,2734614,366,625000,18616778693
225,3827,0,2983521,688,625000,18616778693
226,3844,0,2741411,374,625000,18616778693
227,3868,0,3494597,719,625000,18616778693
228,3885,0,2833483,7140,625000,18616778693
229,3900,0,2796102,746,625000,18616778693
230,3915,0,3275319,407,625000,18616778693
231,3931,0,2776657,314,625000,18616778693
232,3951,0,4230109,541,625000,18616778693
233,3970,0,3085124,481,625000,18616778693
234,3985,0,2573088,394,625000,18616778693
235,4003,0,2481829,378,625000,18616778693
236,4017,0,4728433,658,625000,18616778693
237,4033,0,3140206,414,625000,18616778693
238,4049,0,3114019,185,625000,18616778693
239,4067,0,2438648,332,625000,18616778693
240,4081,0,2740634,291,625000,18616778693
241,4099,0,4284590,293,625000,18616778693
242,4108,0,3467694,521,625000,18616778693
243,4123,0,2865179,421,625000,18616778693
244,4141,0,2947082,675,625000,18616778693
245,4159,0,2847579,695,625000,18616778693
246,4178,0,3642198,722,625000,18616778693
247,4196,0,2637676,762,625000,18616778693
248,4210,0,3175062,665,625000,18616778693
249,4226,0,2744589,587,625000,18616778693
250,4243,0,2800402,528,625000,18616778693
251,4258,0,2652917,595,625000,18616778693
252,4274,0,2421082,725,625000,18616778693
253,4295,0,2723723,562,625000,18616778693
254,4307,0,4461634,679,625000,18616778693
255,4322,0,3018428,579,625000,18616778693
256,4338,0,4491974,641,625000,18616778693
257,4355,0,2057541,612,625000,18616778693
258,4361,0,2271383,531,625000,18616778693
259,4377,0,3036751,538,625000,18616778693
260,4394,0,5383003,752,625000,18616778693
261,4409,0,2256328,725,625000,18616778693
262,4426,0,2181823,552,625000,18616778693
263,4440,0,1709042,435,625000,18616778693
264,4454,0,2025138,635,625000,18616778693
265,4472,0,2938902,608,625000,18616778693
266,4488,0,2301086,544,625000,18616778693
267,4506,0,3056615,1002,625000,18616778693
268,4524,0,3146765,414,625000,18616778693
269,4538,0,2913302,581,625000,18616778693
270,4554,0,3338272,756,625000,18616778693
271,4570,0,2859537,474,625000,18616778693
