id,gsn,shardId,latency(ns),dataGenTime(ns),totalBytes,totalTime(ns)
0,179,0,4328064,23698,625000,18664887461
1,190,0,2089675,644,625000,18664887461
2,204,0,2123575,570,625000,18664887461
3,220,0,2897013,336,625000,18664887461
4,241,0,2879292,532,625000,18664887461
5,254,0,2032330,384,625000,18664887461
6,270,0,3726146,325,625000,18664887461
7,283,0,2678960,542,625000,18664887461
8,298,0,3206020,354,625000,18664887461
9,320,0,2608698,531,625000,18664887461
10,336,0,4184673,562,625000,18664887461
11,355,0,3762408,521,625000,18664887461
12,376,0,2807473,407,625000,18664887461
13,385,0,2360852,665,625000,18664887461
14,400,0,8326081,662,625000,18664887461
15,418,0,2339967,678,625000,18664887461
16,429,0,3548911,671,625000,18664887461
17,449,0,4110550,963,625000,18664887461
18,470,0,4569803,354,625000,18664887461
19,485,0,2686463,619,625000,18664887461
20,501,0,2393992,437,625000,18664887461
21,520,0,3746298,604,625000,18664887461
22,533,0,3325740,572,625000,18664887461
23,550,0,2931776,538,625000,18664887461
24,567,0,3459675,578,625000,18664887461
25,584,0,2067834,665,625000,18664887461
26,597,0,2420300,598,625000,18664887461
27,616,0,2858221,582,625000,18664887461
28,635,0,3050456,538,625000,18664887461
29,651,0,2783917,424,625000,18664887461
30,661,0,2311814,461,625000,18664887461
31,673,0,2954700,447,625000,18664887461
32,691,0,3445713,671,625000,18664887461
33,709,0,2661479,661,625000,18664887461
34,727,0,2973046,558,625000,18664887461
35,737,0,3037813,618,625000,18664887461
36,752,0,3504597,328,625000,18664887461
37,768,0,1990377,675,625000,18664887461
38,785,0,2146306,241,625000,18664887461
39,800,0,2548000,315,625000,18664887461
40,819,0,3500397,492,625000,18664887461
41,833,0,2030627,431,625000,18664887461
42,842,0,3197454,725,625000,18664887461
43,863,0,3006088,357,625000,18664887461
44,881,0,2951645,518,625000,18664887461
45,897,0,2810456,279,625000,18664887461
46,913,0,2969052,555,625000,18664887461
47,930,0,4289004,404,625000,18664887461
48,948,0,2768799,571,625000,18664887461
49,965,0,3256699,387,625000,18664887461
50,980,0,3046348,491,625000,18664887461
51,998,0,3266451,669,625000,18664887461
52,1016,0,3686784,659,625000,18664887461
53,1032,0,2840539,555,625000,18664887461
54,1052,0,3019548,521,625000,18664887461
55,1065,0,2634181,475,625000,18664887461
56,1081,0,2033014,922,625000,18664887461
57,1100,0,2070028,585,625000,18664887461
58,1108,0,2405025,454,625000,18664887461
59,1121,0,3236072,485,625000,18664887461
60,1140,0,3141888,329,625000,18664887461
61,1156,0,3068472,578,625000,18664887461
62,1174,0,2303989,481,625000,18664887461
63,1187,0,3055567,295,625000,18664887461
64,1199,0,2020921,558,625000,18664887461
65,1215,0,3266927,329,625000,18664887461
66,1231,0,2580227,303,625000,18664887461
67,1243,0,2226696,584,625000,18664887461
68,1258,0,2758086,461,625000,18664887461
69,1273,0,3292818,319,625000,18664887461
70,1291,0,3375628,439,625000,18664887461
71,1312,0,2900730,1140,625000,18664887461
72,1328,0,2852878,622,625000,18664887461
73,1347,0,3697656,655,625000,18664887461
74,1360,0,3594154,238,625000,18664887461
75,1380,0,2327671,665,625000,18664887461
76,1399,0,3163743,611,625000,18664887461
77,1415,0,2879104,366,625000,18664887461
78,1431,0,3755646,371,625000,18664887461
79,1448,0,2661559,426,625000,18664887461
