id,gsn,shardId,latency(ns),dataGenTime(ns),totalBytes,totalTime(ns)
0,32,0,4097465,26768,1250000,42027541180
1,38,0,2942167,223,1250000,42027541180
2,44,0,6309799,416,1250000,42027541180
3,50,0,5641998,382,1250000,42027541180
4,57,0,3291570,522,1250000,42027541180
5,64,0,2713128,357,1250000,42027541180
6,71,0,3001939,278,1250000,42027541180
7,78,0,3100450,407,1250000,42027541180
8,85,0,3260182,421,1250000,42027541180
9,92,0,3769331,598,1250000,42027541180
10,99,0,2896507,446,1250000,42027541180
11,106,0,2830658,328,1250000,42027541180
12,113,0,2939767,584,1250000,42027541180
13,120,0,3153307,469,1250000,42027541180
14,128,0,3049179,341,1250000,42027541180
15,136,0,2730344,455,1250000,42027541180
16,144,0,3434013,545,1250000,42027541180
17,152,0,2721915,434,1250000,42027541180
18,160,0,3246418,355,1250000,42027541180
19,168,0,2906918,381,1250000,42027541180
20,176,0,3559245,531,1250000,42027541180
21,184,0,3295693,661,1250000,42027541180
22,192,0,3747836,501,1250000,42027541180
23,200,0,3184847,671,1250000,42027541180
24,208,0,3066597,518,1250000,42027541180
25,216,0,2948158,585,1250000,42027541180
26,224,0,3611050,448,1250000,42027541180
27,234,0,3031653,644,1250000,42027541180
28,242,0,2611250,488,1250000,42027541180
29,248,0,3218640,428,1250000,42027541180
30,256,0,4224276,558,1250000,42027541180
31,265,0,2994573,474,1250000,42027541180
32,273,0,3282395,601,1250000,42027541180
33,281,0,3058739,582,1250000,42027541180
34,289,0,3139585,561,1250000,42027541180
35,297,0,3101102,411,1250000,42027541180
36,305,0,3387995,504,1250000,42027541180
37,313,0,3489850,695,1250000,42027541180
38,321,0,2620562,474,1250000,42027541180
39,329,0,3341594,481,1250000,42027541180
40,337,0,3503281,532,1250000,42027541180
41,345,0,3446098,598,1250000,42027541180
42,354,0,2519878,698,1250000,42027541180
43,364,0,3210109,582,1250000,42027541180
44,372,0,2929982,501,1250000,42027541180
45,380,0,3722166,732,1250000,42027541180
46,389,0,3143765,461,1250000,42027541180
47,397,0,3455767,548,1250000,42027541180
48,405,0,2687672,602,1250000,42027541180
49,413,0,3888594,531,1250000,42027541180
50,423,0,2852828,612,1250000,42027541180
51,429,0,1978576,515,1250000,42027541180
52,436,0,2942959,598,1250000,42027541180
53,444,0,2519108,491,1250000,42027541180
54,452,0,3396766,548,1250000,42027541180
55,460,0,3028849,618,1250000,42027541180
56,466,0,3158629,695,1250000,42027541180
57,477,0,3696302,561,1250000,42027541180
58,485,0,3496589,712,1250000,42027541180
59,493,0,3460829,568,1250000,42027541180
60,501,0,5866239,698,1250000,42027541180
61,509,0,2397384,565,1250000,42027541180
62,519,0,3256852,555,1250000,42027541180
63,527,0,3743896,471,1250000,42027541180
64,535,0,2470759,611,1250000,42027541180
65,543,0,3143888,475,1250000,42027541180
66,551,0,3087777,652,1250000,42027541180
67,559,0,3117276,601,1250000,42027541180
68,567,0,2718925,558,1250000,42027541180
69,575,0,2756741,631,1250000,42027541180
70,583,0,2688521,709,1250000,42027541180
71,589,0,2406753,632,1250000,42027541180
72,597,0,3572115,732,1250000,42027541180
73,605,0,2325319,541,1250000,42027541180
74,613,0,3049354,592,1250000,42027541180
75,621,0,3133076,565,1250000,42027541180
76,629,0,4833115,528,1250000,42027541180
77,637,0,3700789,859,1250000,42027541180
78,641,0,2916297,458,1250000,42027541180
79,648,0,3048235,625,1250000,42027541180
80,657,0,3149428,505,1250000,42027541180
81,665,0,3454905,578,1250000,42027541180
82,672,0,3461450,761,1250000,42027541180
83,681,0,3769172,494,1250000,42027541180
84,689,0,2785811,688,1250000,42027541180
85,697,0,3328607,668,1250000,42027541180
86,708,0,3849193,628,1250000,42027541180
87,714,0,2799350,592,1250000,42027541180
88,722,0,2734943,514,1250000,42027541180
89,730,0,3387160,531,1250000,42027541180
90,738,0,3231803,568,1250000,42027541180
91,746,0,2398330,635,1250000,42027541180
92,754,0,3142545,796,1250000,42027541180
93,762,0,3100714,709,1250000,42027541180
94,770,0,4504985,502,1250000,42027541180
95,778,0,4155204,558,1250000,42027541180
96,786,0,3772243,1237,1250000,42027541180
97,797,0,3413936,584,1250000,42027541180
98,803,0,3380508,681,1250000,42027541180
99,810,0,2652774,692,1250000,42027541180
100,819,0,3583870,768,1250000,42027541180
101,827,0,3311496,772,1250000,42027541180
102,835,0,3088459,498,1250000,42027541180
103,843,0,3468226,648,1250000,42027541180
104,851,0,4575248,725,1250000,42027541180
105,859,0,3380595,568,1250000,42027541180
106,866,0,2587322,618,1250000,42027541180
107,874,0,3319375,537,1250000,42027541180
108,882,0,2930136,638,1250000,42027541180
109,890,0,2447337,611,1250000,42027541180
110,898,0,3683241,414,1250000,42027541180
111,906,0,2238185,618,1250000,42027541180
112,914,0,3336505,1199,1250000,42027541180
113,922,0,2792454,498,1250000,42027541180
114,930,0,3239616,568,1250000,42027541180
115,938,0,3300791,601,1250000,42027541180
116,946,0,2956658,571,1250000,42027541180
117,954,0,2612510,531,1250000,42027541180
118,962,0,4599014,715,1250000,42027541180
119,970,0,2472246,759,1250000,42027541180
120,978,0,3238870,491,1250000,42027541180
121,986,0,2860156,544,1250000,42027541180
122,994,0,2547124,652,1250000,42027541180
123,1001,0,7612284,638,1250000,42027541180
124,1009,0,3108850,545,1250000,42027541180
125,1017,0,3552730,601,1250000,42027541180
126,1025,0,3849260,605,1250000,42027541180
127,1033,0,9002906,618,1250000,42027541180
128,1041,0,4978705,681,1250000,42027541180
129,1052,0,3957944,735,1250000,42027541180
130,1057,0,3486038,658,1250000,42027541180
131,1066,0,2804469,658,1250000,42027541180
132,1073,0,2817151,645,1250000,42027541180
133,1082,0,3113908,548,1250000,42027541180
134,1089,0,2795621,404,1250000,42027541180
135,1098,0,3715467,618,1250000,42027541180
136,1108,0,2869544,612,1250000,42027541180
137,1114,0,3329522,725,1250000,42027541180
138,1123,0,5179868,732,1250000,42027541180
139,1130,0,3025338,605,1250000,42027541180
140,1139,0,3232472,675,1250000,42027541180
141,1146,0,3606325,544,1250000,42027541180
142,1156,0,3340122,778,1250000,42027541180
143,1164,0,3440110,564,1250000,42027541180
144,1176,0,3879355,775,1250000,42027541180
145,1183,0,2740430,416,1250000,42027541180
146,1191,0,3282416,336,1250000,42027541180
147,1200,0,2674170,433,1250000,42027541180
148,1207,0,2687622,408,1250000,42027541180
149,1216,0,4509763,522,1250000,42027541180
150,1223,0,3159002,728,1250000,42027541180
151,1232,0,4238146,322,1250000,42027541180
152,1240,0,4204307,521,1250000,42027541180
153,1247,0,2935799,440,1250000,42027541180
154,1255,0,3382377,416,1250000,42027541180
155,1260,0,2804978,536,1250000,42027541180
156,1267,0,3782830,357,1250000,42027541180
157,1276,0,3221196,738,1250000,42027541180
158,1283,0,3966490,732,1250000,42027541180
159,1292,0,3640980,742,1250000,42027541180
160,1300,0,3620050,741,1250000,42027541180
161,1307,0,2910720,488,1250000,42027541180
162,1316,0,3124690,618,1250000,42027541180
163,1324,0,3521674,551,1250000,42027541180
164,1332,0,3778357,665,1250000,42027541180
165,1344,0,3763232,421,1250000,42027541180
166,1348,0,3051111,711,1250000,42027541180
167,1356,0,2207124,518,1250000,42027541180
168,1363,0,5426090,688,1250000,42027541180
169,1372,0,3164008,655,1250000,42027541180
170,1380,0,2163148,685,1250000,42027541180
171,1386,0,3015585,675,1250000,42027541180
172,1395,0,2766746,645,1250000,42027541180
173,1403,0,2911246,479,1250000,42027541180
174,1411,0,3193538,682,1250000,42027541180
175,1418,0,2747342,675,1250000,42027541180
176,1426,0,3076204,511,1250000,42027541180
177,1434,0,3838365,651,1250000,42027541180
178,1440,0,3225990,705,1250000,42027541180
179,1448,0,2934218,701,1250000,42027541180
180,1456,0,2907894,436,1250000,42027541180
181,1464,0,3020744,588,1250000,42027541180
182,1472,0,3056083,531,1250000,42027541180
183,1480,0,3529058,552,1250000,42027541180
184,1490,0,3640464,625,1250000,42027541180
185,1498,0,2939362,572,1250000,42027541180
186,1506,0,2571477,655,1250000,42027541180
187,1514,0,3366368,552,1250000,42027541180
188,1521,0,3378275,473,1250000,42027541180
189,1531,0,3982093,595,1250000,42027541180
190,1540,0,2607760,728,1250000,42027541180
191,1547,0,2960887,444,1250000,42027541180
192,1556,0,3235560,484,1250000,42027541180
193,1564,0,2926203,668,1250000,42027541180
194,1571,0,2724762,564,1250000,42027541180
195,1580,0,5512606,598,1250000,42027541180
196,1588,0,3168643,645,1250000,42027541180
197,1597,0,3540074,598,1250000,42027541180
198,1605,0,2926347,350,1250000,42027541180
199,1613,0,3513455,487,1250000,42027541180
200,1623,0,3769252,407,1250000,42027541180
201,1631,0,2528725,574,1250000,42027541180
202,1639,0,3464000,434,1250000,42027541180
203,1647,0,6256062,512,1250000,42027541180
204,1649,0,3266771,682,1250000,42027541180
205,1656,0,3925534,451,1250000,42027541180
206,1665,0,3075956,638,1250000,42027541180
207,1673,0,3780783,655,1250000,42027541180
208,1681,0,5126253,1106,1250000,42027541180
209,1688,0,3462853,591,1250000,42027541180
210,1696,0,3745205,372,1250000,42027541180
211,1704,0,3305082,282,1250000,42027541180
212,1713,0,3011349,675,1250000,42027541180
213,1720,0,2740173,556,1250000,42027541180
214,1728,0,3011807,542,1250000,42027541180
215,1736,0,2778478,575,1250000,42027541180
216,1744,0,2943984,568,1250000,42027541180
217,1752,0,4662809,601,1250000,42027541180
218,1763,0,3655216,340,1250000,42027541180
219,1771,0,3119930,473,1250000,42027541180
220,1780,0,2800052,532,1250000,42027541180
221,1788,0,2879086,532,1250000,42027541180
222,1795,0,2879995,314,1250000,42027541180
223,1804,0,3636014,558,1250000,42027541180
224,1812,0,3819500,508,1250000,42027541180
225,1820,0,2762598,514,1250000,42027541180
226,1824,0,3236942,495,1250000,42027541180
227,1832,0,2752073,651,1250000,42027541180
228,1840,0,2631654,471,1250000,42027541180
229,1850,0,3233968,571,1250000,42027541180
230,1858,0,2702838,337,1250000,42027541180
231,1867,0,4782151,614,1250000,42027541180
232,1872,0,2364181,306,1250000,42027541180
233,1880,0,3538920,279,1250000,42027541180
234,1888,0,2951834,534,1250000,42027541180
235,1896,0,2760935,319,1250000,42027541180
