id,gsn,shardId,latency (ns),dataGenTime (ns),totalBytes,totalTime (ns)
125,30126,0,20417613,668,1000000,81296251770
126,30127,0,19962069,618,1000000,81296251770
127,30128,0,20094945,631,1000000,81296251770
128,30129,0,19725721,638,1000000,81296251770
129,30130,0,20083524,501,1000000,81296251770
130,30131,0,20384650,721,1000000,81296251770
131,30132,0,19394041,491,1000000,81296251770
132,30133,0,20100475,655,1000000,81296251770
133,30134,0,20342160,665,1000000,81296251770
134,30135,0,20258805,481,1000000,81296251770
135,30136,0,19556820,711,1000000,81296251770
136,30137,0,19718163,711,1000000,81296251770
137,30138,0,20422854,474,1000000,81296251770
138,30139,0,19888247,671,1000000,81296251770
139,30140,0,19944673,488,1000000,81296251770
140,30141,0,20177737,568,1000000,81296251770
141,30142,0,19864223,625,1000000,81296251770
142,30143,0,19271461,495,1000000,81296251770
143,30144,0,10920596,572,1000000,81296251770
144,30145,0,19480353,685,1000000,81296251770
145,30146,0,20402035,591,1000000,81296251770
146,30147,0,20014708,722,1000000,81296251770
147,30148,0,19672990,421,1000000,81296251770
148,30149,0,19737777,589,1000000,81296251770
149,30150,0,20762387,651,1000000,81296251770
150,30151,0,19834542,504,1000000,81296251770
151,30152,0,19062034,555,1000000,81296251770
152,30153,0,21031000,675,1000000,81296251770
153,30154,0,19456950,588,1000000,81296251770
154,30155,0,20231125,665,1000000,81296251770
155,30156,0,20091773,594,1000000,81296251770
156,30157,0,19835630,668,1000000,81296251770
157,30158,0,19968406,584,1000000,81296251770
158,30159,0,20314385,572,1000000,81296251770
159,30160,0,19858375,588,1000000,81296251770
160,30161,0,20220053,678,1000000,81296251770
161,30162,0,19733525,595,1000000,81296251770
162,30163,0,19937226,705,1000000,81296251770
163,30164,0,20119784,605,1000000,81296251770
164,30165,0,19600885,582,1000000,81296251770
165,30166,0,20372616,669,1000000,81296251770
166,30167,0,20198307,602,1000000,81296251770
167,30168,0,19708940,641,1000000,81296251770
168,30169,0,20344277,672,1000000,81296251770
169,30170,0,19573067,595,1000000,81296251770
170,30171,0,19982444,631,1000000,81296251770
171,30172,0,20225996,604,1000000,81296251770
172,30173,0,20440888,675,1000000,81296251770
173,30174,0,19762949,612,1000000,81296251770
174,30175,0,19781768,669,1000000,81296251770
175,30176,0,19887258,585,1000000,81296251770
176,30177,0,20145973,684,1000000,81296251770
177,30178,0,20083824,585,1000000,81296251770
178,30179,0,20014447,725,1000000,81296251770
179,30180,0,19687073,698,1000000,81296251770
180,30181,0,20091143,602,1000000,81296251770
181,30182,0,20195807,665,1000000,81296251770
182,30183,0,20100134,612,1000000,81296251770
183,30184,0,19492036,624,1000000,81296251770
184,30185,0,20132700,585,1000000,81296251770
185,30186,0,19752693,701,1000000,81296251770
186,30187,0,20516048,491,1000000,81296251770
187,30188,0,20191264,689,1000000,81296251770
188,30189,0,19530680,651,1000000,81296251770
189,30190,0,20277140,592,1000000,81296251770
190,30191,0,19816856,728,1000000,81296251770
191,30192,0,20104750,668,1000000,81296251770
192,30193,0,19727464,585,1000000,81296251770
193,30194,0,20213136,608,1000000,81296251770
194,30195,0,19849458,508,1000000,81296251770
195,30196,0,19875477,662,1000000,81296251770
196,30197,0,20485801,585,1000000,81296251770
197,30198,0,20333236,659,1000000,81296251770
198,30199,0,19614383,508,1000000,81296251770
199,30200,0,19405303,691,1000000,81296251770
200,30201,0,20507597,652,1000000,81296251770
201,30202,0,19814114,615,1000000,81296251770
202,30203,0,20075888,602,1000000,81296251770
203,30204,0,20212220,698,1000000,81296251770
204,30205,0,19589835,515,1000000,81296251770
205,30206,0,20472928,661,1000000,81296251770
206,30207,0,19529631,689,1000000,81296251770
207,30208,0,20072747,685,1000000,81296251770
208,30209,0,20330994,611,1000000,81296251770
209,30210,0,19363156,668,1000000,81296251770
210,30211,0,20169875,662,1000000,81296251770
211,30212,0,20382288,595,1000000,81296251770
212,30213,0,19947625,709,1000000,81296251770
213,30214,0,20194021,668,1000000,81296251770
214,30215,0,19826851,678,1000000,81296251770
215,30216,0,19794016,481,1000000,81296251770
216,30217,0,20290733,671,1000000,81296251770
217,30218,0,20060038,471,1000000,81296251770
218,30219,0,19320583,505,1000000,81296251770
219,30220,0,20599845,578,1000000,81296251770
220,30221,0,19899258,588,1000000,81296251770
221,30222,0,19935888,658,1000000,81296251770
222,30223,0,19727441,618,1000000,81296251770
223,30224,0,20406083,595,1000000,81296251770
224,30225,0,19659530,594,1000000,81296251770
225,30226,0,19543367,688,1000000,81296251770
226,30227,0,20980903,592,1000000,81296251770
227,30228,0,19842214,665,1000000,81296251770
228,30229,0,19807332,685,1000000,81296251770
229,30230,0,20354660,655,1000000,81296251770
230,30231,0,19617709,668,1000000,81296251770
231,30232,0,20172567,658,1000000,81296251770
232,30233,0,19855688,591,1000000,81296251770
233,30234,0,20252971,662,1000000,81296251770
234,30235,0,19391051,518,1000000,81296251770
235,30236,0,20352846,585,1000000,81296251770
236,30237,0,20130807,605,1000000,81296251770
237,30238,0,20260308,685,1000000,81296251770
238,30239,0,19660407,498,1000000,81296251770
239,30240,0,20124701,602,1000000,81296251770
240,30241,0,19675740,611,1000000,81296251770
241,30242,0,20252145,684,1000000,81296251770
