id,gsn,shardId,latency(ns),dataGenTime(ns),totalBytes,totalTime(ns)
0,29,0,4547747,27962,833300,28729498447
1,38,0,3369141,343,833300,28729498447
2,49,0,3720056,337,833300,28729498447
3,59,0,4896397,443,833300,28729498447
4,70,0,3906812,464,833300,28729498447
5,79,0,2864995,267,833300,28729498447
6,90,0,2934912,368,833300,28729498447
7,102,0,4246791,466,833300,28729498447
8,112,0,3843064,378,833300,28729498447
9,122,0,4491025,251,833300,28729498447
10,132,0,3413744,419,833300,28729498447
11,145,0,3720217,647,833300,28729498447
12,156,0,3603070,341,833300,28729498447
13,172,0,3631957,359,833300,28729498447
14,184,0,3541487,728,833300,28729498447
15,201,0,3804565,642,833300,28729498447
16,213,0,2914426,661,833300,28729498447
17,223,0,2592891,514,833300,28729498447
18,232,0,3343599,455,833300,28729498447
19,243,0,2480879,695,833300,28729498447
20,254,0,3799513,1143,833300,28729498447
21,270,0,3744128,568,833300,28729498447
22,282,0,3501123,631,833300,28729498447
23,296,0,3235669,612,833300,28729498447
24,305,0,4250844,634,833300,28729498447
25,315,0,2701635,642,833300,28729498447
26,327,0,3284149,638,833300,28729498447
27,341,0,2921816,591,833300,28729498447
28,350,0,2776103,447,833300,28729498447
29,363,0,3399352,598,833300,28729498447
30,377,0,3498747,611,833300,28729498447
31,388,0,4053710,745,833300,28729498447
32,401,0,3738257,685,833300,28729498447
33,416,0,3989193,775,833300,28729498447
34,424,0,3328085,618,833300,28729498447
35,439,0,4723168,658,833300,28729498447
36,451,0,3585216,645,833300,28729498447
37,462,0,2986190,578,833300,28729498447
38,474,0,5547430,591,833300,28729498447
39,488,0,3043146,619,833300,28729498447
40,496,0,3418950,638,833300,28729498447
41,508,0,2939952,618,833300,28729498447
42,519,0,5568366,468,833300,28729498447
43,531,0,3083347,551,833300,28729498447
44,544,0,3599526,487,833300,28729498447
45,556,0,4051335,531,833300,28729498447
46,568,0,3616148,448,833300,28729498447
47,579,0,3224884,648,833300,28729498447
48,592,0,2439145,575,833300,28729498447
49,604,0,4852697,355,833300,28729498447
50,615,0,4206391,535,833300,28729498447
51,629,0,4497062,705,833300,28729498447
52,641,0,2310533,796,833300,28729498447
53,652,0,3534925,588,833300,28729498447
54,665,0,3116347,666,833300,28729498447
55,676,0,2490796,503,833300,28729498447
56,682,0,5626470,771,833300,28729498447
57,692,0,3662619,320,833300,28729498447
58,704,0,3350135,417,833300,28729498447
59,719,0,3202963,742,833300,28729498447
60,729,0,3531584,344,833300,28729498447
61,741,0,3087649,532,833300,28729498447
62,755,0,2969041,642,833300,28729498447
63,766,0,4083788,403,833300,28729498447
64,779,0,3939459,639,833300,28729498447
65,789,0,2717013,463,833300,28729498447
66,802,0,2769343,602,833300,28729498447
67,811,0,3819613,731,833300,28729498447
68,827,0,3596217,551,833300,28729498447
69,833,0,4795582,650,833300,28729498447
70,845,0,7538576,588,833300,28729498447
71,860,0,3349168,625,833300,28729498447
72,871,0,3111069,1246,833300,28729498447
73,879,0,3299499,541,833300,28729498447
74,895,0,4076708,535,833300,28729498447
75,906,0,3539212,512,833300,28729498447
76,920,0,3107073,491,833300,28729498447
77,928,0,4755878,628,833300,28729498447
78,941,0,3655239,671,833300,28729498447
79,955,0,3491643,631,833300,28729498447
80,966,0,3444661,292,833300,28729498447
81,980,0,3093723,533,833300,28729498447
82,997,0,3982907,708,833300,28729498447
83,1010,0,3576074,578,833300,28729498447
84,1022,0,2980951,698,833300,28729498447
85,1035,0,2946119,752,833300,28729498447
86,1045,0,3169736,614,833300,28729498447
87,1054,0,3054737,745,833300,28729498447
88,1065,0,2472670,621,833300,28729498447
89,1075,0,3254811,561,833300,28729498447
90,1088,0,4679045,548,833300,28729498447
91,1104,0,3296063,658,833300,28729498447
92,1116,0,3974919,618,833300,28729498447
93,1124,0,3474334,765,833300,28729498447
94,1135,0,2606513,548,833300,28729498447
95,1147,0,3459013,412,833300,28729498447
96,1158,0,3263076,548,833300,28729498447
97,1171,0,3115629,425,833300,28729498447
98,1181,0,3518943,456,833300,28729498447
99,1194,0,4938857,324,833300,28729498447
100,1206,0,15554886,1043,833300,28729498447
101,1217,0,3163887,728,833300,28729498447
102,1229,0,3209621,264,833300,28729498447
103,1237,0,3035447,565,833300,28729498447
104,1249,0,2750590,665,833300,28729498447
105,1261,0,2653114,562,833300,28729498447
106,1272,0,3342088,438,833300,28729498447
107,1282,0,2700082,451,833300,28729498447
108,1294,0,3361654,481,833300,28729498447
109,1301,0,4862544,344,833300,28729498447
110,1315,0,2916433,625,833300,28729498447
111,1324,0,3587545,708,833300,28729498447
112,1337,0,3539270,551,833300,28729498447
113,1349,0,2975045,254,833300,28729498447
114,1359,0,2832923,265,833300,28729498447
115,1374,0,3272240,641,833300,28729498447
116,1384,0,3020242,359,833300,28729498447
117,1399,0,4226728,258,833300,28729498447
118,1411,0,2447146,565,833300,28729498447
119,1419,0,2907957,322,833300,28729498447
120,1432,0,3227865,251,833300,28729498447
121,1444,0,2987825,245,833300,28729498447
122,1455,0,3177183,588,833300,28729498447
123,1468,0,2777487,313,833300,28729498447
124,1479,0,3182003,538,833300,28729498447
125,1494,0,2809460,1086,833300,28729498447
126,1504,0,3347331,953,833300,28729498447
127,1515,0,2966398,352,833300,28729498447
128,1527,0,3188663,572,833300,28729498447
129,1540,0,9580638,678,833300,28729498447
130,1552,0,6204385,244,833300,28729498447
131,1561,0,3511195,519,833300,28729498447
132,1574,0,3704699,651,833300,28729498447
133,1590,0,3767267,443,833300,28729498447
134,1602,0,2657979,481,833300,28729498447
135,1612,0,3051563,554,833300,28729498447
136,1624,0,2880437,558,833300,28729498447
137,1636,0,3858187,362,833300,28729498447
138,1650,0,4015046,588,833300,28729498447
139,1663,0,3094159,301,833300,28729498447
140,1672,0,3190916,364,833300,28729498447
141,1682,0,3214181,247,833300,28729498447
142,1695,0,3592547,595,833300,28729498447
143,1709,0,4640488,725,833300,28729498447
144,1719,0,3364832,448,833300,28729498447
145,1732,0,3687679,708,833300,28729498447
146,1742,0,3340500,518,833300,28729498447
147,1755,0,4075204,765,833300,28729498447
148,1768,0,3040440,712,833300,28729498447
149,1782,0,3425145,542,833300,28729498447
150,1793,0,2503268,682,833300,28729498447
151,1804,0,2954993,681,833300,28729498447
152,1815,0,3908200,594,833300,28729498447
153,1828,0,3137750,578,833300,28729498447
154,1840,0,3604507,599,833300,28729498447
155,1852,0,4348666,485,833300,28729498447
156,1866,0,3460942,565,833300,28729498447
157,1878,0,3148886,712,833300,28729498447
158,1891,0,3797489,578,833300,28729498447
159,1903,0,3683074,521,833300,28729498447
160,1915,0,3041188,535,833300,28729498447
161,1928,0,2746720,451,833300,28729498447
162,1939,0,3750689,665,833300,28729498447
163,1956,0,4097479,565,833300,28729498447
164,1969,0,3598487,568,833300,28729498447
165,1983,0,2749831,698,833300,28729498447
166,1996,0,2953633,408,833300,28729498447
167,2003,0,3859701,511,833300,28729498447
168,2009,0,3124119,253,833300,28729498447
169,2023,0,3451860,638,833300,28729498447
170,2043,0,4018009,361,833300,28729498447
171,2049,0,2369430,348,833300,28729498447
172,2063,0,3569597,658,833300,28729498447
173,2074,0,2676116,514,833300,28729498447
174,2084,0,2725198,689,833300,28729498447
175,2096,0,3753578,282,833300,28729498447
176,2112,0,4399379,605,833300,28729498447
177,2123,0,3454274,594,833300,28729498447
178,2136,0,2743523,654,833300,28729498447
179,2147,0,3008512,344,833300,28729498447
180,2160,0,3166255,585,833300,28729498447
181,2173,0,2829392,333,833300,28729498447
182,2183,0,3294139,595,833300,28729498447
183,2195,0,2203651,598,833300,28729498447
184,2207,0,3072386,336,833300,28729498447
185,2219,0,2824867,412,833300,28729498447
186,2228,0,2905948,254,833300,28729498447
187,2239,0,3048225,612,833300,28729498447
188,2251,0,2619506,298,833300,28729498447
189,2263,0,2722592,682,833300,28729498447
190,2275,0,3486773,192,833300,28729498447
191,2287,0,2940066,565,833300,28729498447
192,2299,0,3121596,407,833300,28729498447
193,2305,0,2631407,658,833300,28729498447
