id,gsn,shardId,latency(ns),dataGenTime(ns),totalBytes,totalTime(ns)
0,0,0,4122733,33996,833300,29550313805
1,1,0,3222751,511,833300,29550313805
2,2,0,6292953,474,833300,29550313805
3,6,0,3081478,498,833300,29550313805
4,11,0,2976946,730,833300,29550313805
5,19,0,3145060,434,833300,29550313805
6,26,0,3116945,770,833300,29550313805
7,33,0,2846785,308,833300,29550313805
8,43,0,3087386,297,833300,29550313805
9,53,0,3790982,221,833300,29550313805
10,63,0,4798481,250,833300,29550313805
11,74,0,3908057,458,833300,29550313805
12,82,0,2942871,207,833300,29550313805
13,94,0,2805026,361,833300,29550313805
14,104,0,4215692,539,833300,29550313805
15,116,0,3905490,521,833300,29550313805
16,128,0,4612796,652,833300,29550313805
17,138,0,3388535,581,833300,29550313805
18,149,0,3585094,656,833300,29550313805
19,161,0,3482573,588,833300,29550313805
20,169,0,2765550,501,833300,29550313805
21,182,0,2940530,615,833300,29550313805
22,193,0,2807780,574,833300,29550313805
23,206,0,3602316,555,833300,29550313805
24,217,0,3697903,447,833300,29550313805
25,229,0,3354244,581,833300,29550313805
26,246,0,3305810,544,833300,29550313805
27,258,0,3623318,585,833300,29550313805
28,266,0,2750944,555,833300,29550313805
29,278,0,3650138,695,833300,29550313805
30,291,0,3579235,611,833300,29550313805
31,302,0,3123122,445,833300,29550313805
32,314,0,3379546,561,833300,29550313805
33,326,0,3374113,428,833300,29550313805
34,337,0,2815123,541,833300,29550313805
35,349,0,2685822,415,833300,29550313805
36,361,0,3002960,488,833300,29550313805
37,373,0,3433124,655,833300,29550313805
38,381,0,3118299,407,833300,29550313805
39,394,0,4539599,682,833300,29550313805
40,407,0,2848308,521,833300,29550313805
41,420,0,3787195,632,833300,29550313805
42,431,0,3233508,387,833300,29550313805
43,443,0,4056076,505,833300,29550313805
44,455,0,3730976,644,833300,29550313805
45,470,0,3492830,635,833300,29550313805
46,478,0,5000028,598,833300,29550313805
47,491,0,3099795,548,833300,29550313805
48,503,0,3523211,662,833300,29550313805
49,513,0,3661231,611,833300,29550313805
50,526,0,5742759,842,833300,29550313805
51,540,0,3610448,752,833300,29550313805
52,551,0,3430826,698,833300,29550313805
53,565,0,3374487,648,833300,29550313805
54,572,0,2913694,501,833300,29550313805
55,585,0,3276100,675,833300,29550313805
56,595,0,2686246,574,833300,29550313805
57,606,0,4683926,728,833300,29550313805
58,624,0,3994609,578,833300,29550313805
59,633,0,4085621,796,833300,29550313805
60,643,0,2645421,611,833300,29550313805
61,655,0,3477083,609,833300,29550313805
62,666,0,3451187,688,833300,29550313805
63,678,0,5277456,605,833300,29550313805
64,691,0,4420290,628,833300,29550313805
65,702,0,3367748,565,833300,29550313805
66,714,0,3373231,397,833300,29550313805
67,727,0,3357694,642,833300,29550313805
68,738,0,3502923,556,833300,29550313805
69,752,0,3349740,556,833300,29550313805
70,761,0,3303503,573,833300,29550313805
71,776,0,4054925,627,833300,29550313805
72,788,0,3102532,782,833300,29550313805
73,799,0,3860928,894,833300,29550313805
74,815,0,3745908,633,833300,29550313805
75,821,0,3356125,389,833300,29550313805
76,838,0,5304657,655,833300,29550313805
77,847,0,7528397,704,833300,29550313805
78,864,0,3354948,631,833300,29550313805
79,876,0,3105495,752,833300,29550313805
80,886,0,4243539,568,833300,29550313805
81,900,0,4035730,586,833300,29550313805
82,912,0,2824009,564,833300,29550313805
83,922,0,2979162,559,833300,29550313805
84,934,0,4864326,1156,833300,29550313805
85,944,0,3430134,420,833300,29550313805
