id,gsn,shardId,latency(ns),dataGenTime(ns),totalBytes,totalTime(ns)
0,111,0,5053511,27073,1000000,29454844172
1,121,0,3014948,395,1000000,29454844172
2,130,0,2589862,394,1000000,29454844172
3,139,0,1869250,361,1000000,29454844172
4,148,0,2058605,247,1000000,29454844172
5,154,0,2163943,368,1000000,29454844172
6,163,0,2515880,590,1000000,29454844172
7,172,0,2594179,272,1000000,29454844172
8,181,0,3298022,427,1000000,29454844172
9,188,0,2361765,319,1000000,29454844172
10,197,0,2225522,464,1000000,29454844172
11,206,0,3619356,339,1000000,29454844172
12,216,0,2392360,416,1000000,29454844172
13,224,0,2454604,308,1000000,29454844172
14,234,0,2494801,555,1000000,29454844172
15,245,0,3054463,508,1000000,29454844172
16,253,0,2827895,318,1000000,29454844172
17,265,0,3707637,559,1000000,29454844172
18,277,0,3085679,669,1000000,29454844172
19,287,0,2475864,745,1000000,29454844172
20,292,0,2599149,585,1000000,29454844172
21,303,0,2329706,327,1000000,29454844172
22,312,0,2571169,287,1000000,29454844172
23,322,0,2633941,712,1000000,29454844172
24,330,0,2308343,528,1000000,29454844172
25,340,0,2591789,517,1000000,29454844172
26,351,0,2983152,415,1000000,29454844172
27,360,0,2654635,512,1000000,29454844172
28,371,0,2773820,521,1000000,29454844172
29,380,0,2524491,555,1000000,29454844172
30,390,0,2550466,671,1000000,29454844172
31,398,0,2541327,347,1000000,29454844172
32,407,0,2502396,391,1000000,29454844172
33,417,0,2244196,618,1000000,29454844172
34,427,0,2588474,361,1000000,29454844172
35,438,0,2502661,341,1000000,29454844172
36,447,0,2949965,455,1000000,29454844172
37,458,0,2691067,494,1000000,29454844172
38,470,0,3781258,368,1000000,29454844172
39,482,0,2868692,725,1000000,29454844172
40,492,0,3427397,575,1000000,29454844172
41,502,0,5004348,461,1000000,29454844172
42,512,0,2840149,424,1000000,29454844172
43,522,0,2725918,561,1000000,29454844172
44,532,0,4250344,531,1000000,29454844172
45,544,0,3546255,485,1000000,29454844172
46,551,0,3308239,518,1000000,29454844172
47,566,0,3408112,591,1000000,29454844172
48,575,0,2517696,695,1000000,29454844172
49,585,0,2697205,612,1000000,29454844172
50,594,0,3562440,708,1000000,29454844172
51,605,0,2318185,344,1000000,29454844172
52,616,0,2946397,581,1000000,29454844172
53,625,0,5587287,761,1000000,29454844172
54,638,0,4915149,488,1000000,29454844172
55,648,0,4803479,575,1000000,29454844172
56,660,0,4795536,772,1000000,29454844172
57,673,0,3869253,729,1000000,29454844172
58,684,0,10358377,561,1000000,29454844172
59,686,0,2870222,732,1000000,29454844172
60,695,0,2682363,732,1000000,29454844172
61,707,0,4355365,492,1000000,29454844172
62,716,0,2719046,588,1000000,29454844172
63,726,0,2784665,795,1000000,29454844172
64,737,0,3034637,598,1000000,29454844172
65,746,0,2467574,595,1000000,29454844172
66,756,0,3201877,878,1000000,29454844172
67,768,0,3233654,669,1000000,29454844172
68,777,0,2632908,752,1000000,29454844172
69,788,0,2440171,802,1000000,29454844172
70,794,0,2880737,475,1000000,29454844172
71,804,0,2529586,655,1000000,29454844172
72,814,0,4807448,524,1000000,29454844172
73,828,0,2800486,751,1000000,29454844172
74,842,0,3293761,508,1000000,29454844172
75,853,0,2753620,578,1000000,29454844172
76,862,0,2818628,671,1000000,29454844172
77,873,0,2643733,428,1000000,29454844172
78,879,0,2525246,745,1000000,29454844172
79,893,0,3143477,759,1000000,29454844172
80,904,0,3378132,638,1000000,29454844172
81,909,0,2380328,665,1000000,29454844172
82,919,0,2901633,635,1000000,29454844172
83,929,0,2761511,665,1000000,29454844172
84,939,0,2259729,588,1000000,29454844172
85,949,0,2978689,702,1000000,29454844172
86,959,0,2273040,688,1000000,29454844172
87,969,0,3161353,675,1000000,29454844172
88,979,0,2771588,786,1000000,29454844172
89,989,0,2885218,458,1000000,29454844172
90,998,0,2512707,638,1000000,29454844172
91,1009,0,3515340,604,1000000,29454844172
92,1016,0,4015559,621,1000000,29454844172
93,1029,0,3430805,541,1000000,29454844172
94,1037,0,2715705,761,1000000,29454844172
95,1047,0,2917766,642,1000000,29454844172
96,1057,0,2156960,568,1000000,29454844172
97,1067,0,2542647,621,1000000,29454844172
98,1078,0,2233835,741,1000000,29454844172
99,1087,0,2479383,512,1000000,29454844172
100,1098,0,3927465,688,1000000,29454844172
101,1104,0,3920075,571,1000000,29454844172
102,1115,0,2740423,514,1000000,29454844172
103,1125,0,2428377,752,1000000,29454844172
104,1134,0,2894392,471,1000000,29454844172
105,1145,0,2668194,431,1000000,29454844172
106,1155,0,3893713,614,1000000,29454844172
107,1166,0,2163832,8921,1000000,29454844172
108,1175,0,2204076,491,1000000,29454844172
109,1186,0,3730391,729,1000000,29454844172
110,1196,0,2827118,655,1000000,29454844172
111,1206,0,2361874,745,1000000,29454844172
112,1215,0,2663586,568,1000000,29454844172
113,1226,0,2731348,605,1000000,29454844172
114,1236,0,2888672,604,1000000,29454844172
115,1247,0,2747238,658,1000000,29454844172
116,1257,0,2920493,625,1000000,29454844172
117,1269,0,3094333,675,1000000,29454844172
118,1277,0,2903553,661,1000000,29454844172
119,1288,0,2861756,571,1000000,29454844172
120,1298,0,2432105,615,1000000,29454844172
