id,gsn,shardId,latency(ns),dataGenTime(ns),totalBytes,totalTime(ns)
0,24,0,4063581,33472,1000000,29629381438
1,26,0,2242562,824,1000000,29629381438
2,29,0,2670148,710,1000000,29629381438
3,32,0,2881663,613,1000000,29629381438
4,35,0,2378199,709,1000000,29629381438
5,38,0,2578638,482,1000000,29629381438
6,41,0,2342377,447,1000000,29629381438
7,44,0,1772569,302,1000000,29629381438
8,45,0,2084225,324,1000000,29629381438
9,49,0,2159921,416,1000000,29629381438
10,53,0,2588334,441,1000000,29629381438
11,56,0,2682914,339,1000000,29629381438
12,61,0,3127432,410,1000000,29629381438
13,64,0,2731508,294,1000000,29629381438
14,69,0,3038994,371,1000000,29629381438
15,73,0,2721687,340,1000000,29629381438
16,77,0,2743469,364,1000000,29629381438
17,81,0,3272985,356,1000000,29629381438
18,85,0,2183536,427,1000000,29629381438
19,90,0,2882227,326,1000000,29629381438
20,95,0,3100826,247,1000000,29629381438
21,100,0,2799924,358,1000000,29629381438
22,105,0,3344694,233,1000000,29629381438
23,114,0,3064192,252,1000000,29629381438
24,125,0,2768263,501,1000000,29629381438
25,132,0,1641199,424,1000000,29629381438
26,142,0,2168636,242,1000000,29629381438
27,149,0,2021450,319,1000000,29629381438
28,159,0,2029665,491,1000000,29629381438
29,165,0,2684970,391,1000000,29629381438
30,174,0,3197390,288,1000000,29629381438
31,183,0,2303741,573,1000000,29629381438
32,191,0,3055515,526,1000000,29629381438
33,202,0,4416410,531,1000000,29629381438
34,213,0,2510789,408,1000000,29629381438
35,222,0,2372977,538,1000000,29629381438
36,231,0,2584874,464,1000000,29629381438
37,242,0,3080707,491,1000000,29629381438
38,258,0,2846948,582,1000000,29629381438
39,262,0,3465415,524,1000000,29629381438
40,275,0,3192743,488,1000000,29629381438
41,288,0,3306702,621,1000000,29629381438
42,298,0,2590920,598,1000000,29629381438
43,306,0,2524019,548,1000000,29629381438
44,315,0,2800149,598,1000000,29629381438
45,327,0,2607257,568,1000000,29629381438
46,336,0,2439424,718,1000000,29629381438
47,344,0,1977794,435,1000000,29629381438
48,354,0,2441748,394,1000000,29629381438
49,362,0,3180948,638,1000000,29629381438
50,374,0,2545243,551,1000000,29629381438
51,384,0,2740268,608,1000000,29629381438
52,393,0,2387752,531,1000000,29629381438
53,401,0,2832942,461,1000000,29629381438
54,413,0,2919835,592,1000000,29629381438
55,424,0,3002093,398,1000000,29629381438
56,433,0,2499890,532,1000000,29629381438
57,443,0,2746015,465,1000000,29629381438
58,453,0,3742514,521,1000000,29629381438
59,464,0,3401848,1112,1000000,29629381438
60,473,0,2919808,695,1000000,29629381438
61,487,0,3615379,735,1000000,29629381438
62,499,0,4948955,772,1000000,29629381438
63,505,0,1834005,545,1000000,29629381438
64,515,0,2631124,437,1000000,29629381438
65,526,0,2530679,585,1000000,29629381438
66,535,0,3129268,551,1000000,29629381438
67,543,0,3094994,474,1000000,29629381438
68,555,0,3606967,555,1000000,29629381438
69,563,0,3058857,665,1000000,29629381438
70,571,0,2489920,702,1000000,29629381438
71,581,0,2668003,756,1000000,29629381438
72,591,0,3760967,659,1000000,29629381438
73,604,0,2120437,624,1000000,29629381438
74,613,0,3130855,715,1000000,29629381438
75,623,0,3955568,715,1000000,29629381438
76,633,0,3277748,612,1000000,29629381438
77,643,0,4840906,701,1000000,29629381438
78,654,0,4732503,598,1000000,29629381438
79,662,0,3726279,635,1000000,29629381438
80,670,0,3298546,672,1000000,29629381438
81,677,0,10381374,708,1000000,29629381438
82,694,0,3930175,739,1000000,29629381438
83,700,0,3212696,572,1000000,29629381438
84,710,0,4769236,742,1000000,29629381438
85,722,0,2513244,598,1000000,29629381438
86,733,0,3135552,578,1000000,29629381438
87,742,0,2796600,752,1000000,29629381438
88,750,0,3022712,547,1000000,29629381438
89,761,0,2980824,748,1000000,29629381438
90,772,0,2489409,715,1000000,29629381438
91,783,0,2698778,712,1000000,29629381438
92,792,0,3445235,728,1000000,29629381438
