id,gsn,shardId,latency(ns),dataGenTime(ns),totalBytes,totalTime(ns)
0,4,0,3391626,45465,1000000,29637533031
1,6,0,3762269,564,1000000,29637533031
2,8,0,2532156,574,1000000,29637533031
3,10,0,3442857,422,1000000,29637533031
4,13,0,2691517,433,1000000,29637533031
5,14,0,5438652,444,1000000,29637533031
6,16,0,2786667,771,1000000,29637533031
7,18,0,1914114,809,1000000,29637533031
8,20,0,2173666,462,1000000,29637533031
9,23,0,2453081,475,1000000,29637533031
10,25,0,3722304,501,1000000,29637533031
11,28,0,3011033,838,1000000,29637533031
12,31,0,2969248,556,1000000,29637533031
13,34,0,1970814,516,1000000,29637533031
14,36,0,3065641,381,1000000,29637533031
15,40,0,2540147,447,1000000,29637533031
16,43,0,2208199,368,1000000,29637533031
17,46,0,2060670,288,1000000,29637533031
18,50,0,3104242,376,1000000,29637533031
19,54,0,3133513,400,1000000,29637533031
20,58,0,2668984,551,1000000,29637533031
21,62,0,3030651,387,1000000,29637533031
22,66,0,2477933,474,1000000,29637533031
23,70,0,2349743,349,1000000,29637533031
24,74,0,2668324,382,1000000,29637533031
25,78,0,2590560,327,1000000,29637533031
26,82,0,3031912,294,1000000,29637533031
27,86,0,2806879,499,1000000,29637533031
28,91,0,2398706,367,1000000,29637533031
29,98,0,3092575,360,1000000,29637533031
30,103,0,2677973,360,1000000,29637533031
31,108,0,3570762,446,1000000,29637533031
32,117,0,2761957,557,1000000,29637533031
33,127,0,2837950,336,1000000,29637533031
34,135,0,2561356,358,1000000,29637533031
35,144,0,2177556,248,1000000,29637533031
36,155,0,2695341,333,1000000,29637533031
37,164,0,3057939,482,1000000,29637533031
38,177,0,3253771,301,1000000,29637533031
39,184,0,2276664,504,1000000,29637533031
40,192,0,3134418,554,1000000,29637533031
41,205,0,4311221,379,1000000,29637533031
42,211,0,2595843,553,1000000,29637533031
43,223,0,2313848,599,1000000,29637533031
44,232,0,2606053,466,1000000,29637533031
45,246,0,3157729,411,1000000,29637533031
46,257,0,2775758,641,1000000,29637533031
47,263,0,3528861,611,1000000,29637533031
48,276,0,3091568,705,1000000,29637533031
49,285,0,2547608,569,1000000,29637533031
50,295,0,3374365,628,1000000,29637533031
51,307,0,2537214,470,1000000,29637533031
52,318,0,2786751,591,1000000,29637533031
53,325,0,2588894,665,1000000,29637533031
54,338,0,2505143,651,1000000,29637533031
55,347,0,2752871,602,1000000,29637533031
56,358,0,3307257,314,1000000,29637533031
57,366,0,3178589,651,1000000,29637533031
58,379,0,2830486,501,1000000,29637533031
59,385,0,2743443,401,1000000,29637533031
60,396,0,2378364,595,1000000,29637533031
61,405,0,2506740,467,1000000,29637533031
62,415,0,2274681,478,1000000,29637533031
63,426,0,2580712,371,1000000,29637533031
64,435,0,2512951,538,1000000,29637533031
65,445,0,2857368,689,1000000,29637533031
66,454,0,3010369,675,1000000,29637533031
67,463,0,3552657,622,1000000,29637533031
68,478,0,2858551,1199,1000000,29637533031
69,490,0,3496341,632,1000000,29637533031
70,500,0,5137259,488,1000000,29637533031
71,509,0,2629537,471,1000000,29637533031
72,520,0,2966447,661,1000000,29637533031
73,528,0,4063437,585,1000000,29637533031
74,540,0,2903984,635,1000000,29637533031
75,547,0,2561822,578,1000000,29637533031
76,557,0,2726543,602,1000000,29637533031
77,567,0,3116398,498,1000000,29637533031
78,577,0,2256642,528,1000000,29637533031
79,587,0,2610265,669,1000000,29637533031
80,597,0,3020309,728,1000000,29637533031
81,603,0,2037456,581,1000000,29637533031
82,614,0,3018662,624,1000000,29637533031
83,624,0,3952548,659,1000000,29637533031
84,632,0,3282876,622,1000000,29637533031
85,642,0,4778227,778,1000000,29637533031
86,653,0,4870225,511,1000000,29637533031
87,664,0,3657996,558,1000000,29637533031
88,671,0,3304112,498,1000000,29637533031
