id,gsn,shardId,latency(ns),dataGenTime(ns),totalBytes,totalTime(ns)
0,0,0,7786317,31517,500000,17307835341
1,2,0,3481036,758,500000,17307835341
2,3,0,3817101,693,500000,17307835341
3,5,0,4404494,773,500000,17307835341
4,8,0,3651638,1378,500000,17307835341
5,11,0,3898667,642,500000,17307835341
6,18,0,3344795,658,500000,17307835341
7,23,0,3113050,681,500000,17307835341
8,32,0,3354644,674,500000,17307835341
9,40,0,2635886,629,500000,17307835341
10,48,0,3369724,441,500000,17307835341
11,58,0,2718348,385,500000,17307835341
12,68,0,4035531,5363,500000,17307835341
13,77,0,2812934,416,500000,17307835341
14,89,0,3354879,350,500000,17307835341
15,104,0,3257008,397,500000,17307835341
16,119,0,4424425,299,500000,17307835341
17,130,0,3619465,534,500000,17307835341
18,144,0,3802038,511,500000,17307835341
19,158,0,3447097,263,500000,17307835341
20,174,0,3119710,461,500000,17307835341
21,196,0,3221625,618,500000,17307835341
22,209,0,2857413,339,500000,17307835341
23,230,0,3239676,12101,500000,17307835341
24,254,0,3630784,593,500000,17307835341
25,273,0,3236859,231,500000,17307835341
26,293,0,4023578,381,500000,17307835341
27,311,0,4974676,343,500000,17307835341
28,328,0,2650149,627,500000,17307835341
29,348,0,3529262,293,500000,17307835341
30,372,0,3007530,404,500000,17307835341
31,389,0,7300781,629,500000,17307835341
32,411,0,3788902,396,500000,17307835341
33,431,0,3663843,735,500000,17307835341
34,452,0,3369827,595,500000,17307835341
35,476,0,3325396,398,500000,17307835341
36,494,0,2748749,491,500000,17307835341
37,517,0,3413137,975,500000,17307835341
38,536,0,6201482,655,500000,17307835341
39,558,0,2829323,544,500000,17307835341
40,576,0,3098859,532,500000,17307835341
41,598,0,4056825,588,500000,17307835341
42,616,0,3103193,514,500000,17307835341
43,640,0,3819151,421,500000,17307835341
44,658,0,7033744,509,500000,17307835341
45,678,0,3207868,582,500000,17307835341
46,700,0,3841854,521,500000,17307835341
47,722,0,3086030,417,500000,17307835341
48,739,0,4046570,749,500000,17307835341
49,765,0,3664261,618,500000,17307835341
50,785,0,2890155,985,500000,17307835341
51,802,0,3176141,554,500000,17307835341
52,822,0,2646941,618,500000,17307835341
53,845,0,3380427,1116,500000,17307835341
54,866,0,2855982,594,500000,17307835341
55,883,0,2771548,669,500000,17307835341
56,905,0,3077195,615,500000,17307835341
57,923,0,3319375,468,500000,17307835341
58,945,0,3408033,8185,500000,17307835341
59,967,0,6428060,558,500000,17307835341
60,982,0,3647609,527,500000,17307835341
61,1004,0,2901583,453,500000,17307835341
62,1023,0,3174630,668,500000,17307835341
63,1043,0,3126755,628,500000,17307835341
64,1064,0,6507445,615,500000,17307835341
65,1084,0,2949520,579,500000,17307835341
66,1104,0,2682427,605,500000,17307835341
67,1124,0,3861678,455,500000,17307835341
68,1143,0,3812226,364,500000,17307835341
69,1165,0,3278352,579,500000,17307835341
70,1184,0,3153310,528,500000,17307835341
71,1204,0,2922036,404,500000,17307835341
72,1229,0,4555302,654,500000,17307835341
73,1250,0,3359141,708,500000,17307835341
74,1271,0,3083457,491,500000,17307835341
75,1291,0,3679342,255,500000,17307835341
76,1312,0,3423408,548,500000,17307835341
77,1335,0,3582051,471,500000,17307835341
78,1355,0,4064139,521,500000,17307835341
79,1374,0,3670683,476,500000,17307835341
80,1393,0,2913248,588,500000,17307835341
81,1414,0,4379026,501,500000,17307835341
82,1441,0,4062271,528,500000,17307835341
83,1460,0,2978939,514,500000,17307835341
84,1477,0,3049658,594,500000,17307835341
85,1499,0,3046330,741,500000,17307835341
86,1519,0,3191326,705,500000,17307835341
87,1540,0,3264519,604,500000,17307835341
88,1555,0,3976703,1043,500000,17307835341
89,1577,0,2544676,551,500000,17307835341
90,1598,0,3037074,676,500000,17307835341
91,1619,0,4158832,602,500000,17307835341
92,1636,0,3095068,265,500000,17307835341
93,1658,0,3036373,251,500000,17307835341
94,1678,0,6639692,598,500000,17307835341
95,1697,0,3797322,709,500000,17307835341
96,1720,0,3458991,438,500000,17307835341
