id,gsn,shardId,latency(ns),dataGenTime(ns),totalBytes,totalTime(ns)
0,13,0,4625417,30010,500000,17394718956
1,17,0,3800341,723,500000,17394718956
2,28,0,2883073,841,500000,17394718956
3,36,0,3382081,1225,500000,17394718956
4,45,0,3290396,1213,500000,17394718956
5,54,0,2816059,598,500000,17394718956
6,62,0,3519883,420,500000,17394718956
7,75,0,3805712,563,500000,17394718956
8,86,0,2515520,486,500000,17394718956
9,97,0,3417920,342,500000,17394718956
10,112,0,6111831,337,500000,17394718956
11,127,0,2947539,409,500000,17394718956
12,140,0,3112882,309,500000,17394718956
13,155,0,4641443,532,500000,17394718956
14,171,0,2949844,331,500000,17394718956
15,190,0,3942219,316,500000,17394718956
16,216,0,3063310,231,500000,17394718956
17,235,0,3293167,439,500000,17394718956
18,252,0,3494845,847,500000,17394718956
19,269,0,2818401,581,500000,17394718956
20,289,0,3533018,574,500000,17394718956
21,306,0,3931765,427,500000,17394718956
22,326,0,4043678,504,500000,17394718956
23,346,0,2465595,343,500000,17394718956
24,365,0,3540821,277,500000,17394718956
25,386,0,6830442,356,500000,17394718956
26,406,0,3217104,745,500000,17394718956
27,425,0,3386684,668,500000,17394718956
28,441,0,3187887,461,500000,17394718956
29,458,0,3507337,436,500000,17394718956
30,483,0,2792478,388,500000,17394718956
31,501,0,2694149,728,500000,17394718956
32,518,0,3192486,541,500000,17394718956
33,546,0,6046935,712,500000,17394718956
34,562,0,3029863,613,500000,17394718956
35,586,0,3066384,590,500000,17394718956
36,606,0,4337072,589,500000,17394718956
37,626,0,3660472,544,500000,17394718956
38,642,0,2909882,461,500000,17394718956
39,662,0,7309066,907,500000,17394718956
40,688,0,3512775,615,500000,17394718956
41,709,0,3248010,413,500000,17394718956
42,728,0,3319812,588,500000,17394718956
43,744,0,3879122,243,500000,17394718956
44,760,0,3474431,461,500000,17394718956
45,788,0,3104925,306,500000,17394718956
46,808,0,3281013,405,500000,17394718956
47,829,0,2623356,615,500000,17394718956
48,847,0,3234587,458,500000,17394718956
49,869,0,2931489,495,500000,17394718956
50,890,0,2738401,448,500000,17394718956
51,907,0,3168980,598,500000,17394718956
52,929,0,3263083,465,500000,17394718956
53,949,0,3454394,645,500000,17394718956
54,970,0,6580243,564,500000,17394718956
55,998,0,4071819,464,500000,17394718956
56,1019,0,2916002,531,500000,17394718956
57,1032,0,2669891,882,500000,17394718956
58,1053,0,3056013,605,500000,17394718956
59,1073,0,6415551,1163,500000,17394718956
60,1091,0,3205309,631,500000,17394718956
61,1107,0,2448839,594,500000,17394718956
62,1126,0,4038015,424,500000,17394718956
63,1147,0,3723895,392,500000,17394718956
64,1163,0,3057989,617,500000,17394718956
65,1183,0,2890018,758,500000,17394718956
66,1202,0,3233531,445,500000,17394718956
67,1224,0,4660775,424,500000,17394718956
68,1247,0,3126395,708,500000,17394718956
69,1263,0,2747197,741,500000,17394718956
70,1283,0,3338994,274,500000,17394718956
71,1304,0,3271450,255,500000,17394718956
72,1323,0,3451712,604,500000,17394718956
73,1344,0,3921243,564,500000,17394718956
74,1364,0,4514207,504,500000,17394718956
75,1387,0,2819415,396,500000,17394718956
76,1411,0,3282739,497,500000,17394718956
77,1432,0,3902488,486,500000,17394718956
78,1453,0,2782015,481,500000,17394718956
79,1463,0,3093938,467,500000,17394718956
80,1490,0,3120175,602,500000,17394718956
81,1512,0,2693795,498,500000,17394718956
82,1528,0,3255460,607,500000,17394718956
83,1550,0,3550250,716,500000,17394718956
84,1570,0,3250580,645,500000,17394718956
85,1585,0,2962713,761,500000,17394718956
86,1604,0,3126231,431,500000,17394718956
87,1627,0,3749881,290,500000,17394718956
88,1642,0,3303930,279,500000,17394718956
89,1671,0,5369835,735,500000,17394718956
90,1692,0,4029450,699,500000,17394718956
91,1705,0,3993129,426,500000,17394718956
92,1724,0,2816483,289,500000,17394718956
93,1744,0,3195758,545,500000,17394718956
94,1763,0,3936267,476,500000,17394718956
95,1790,0,3455458,429,500000,17394718956
96,1804,0,2956011,377,500000,17394718956
97,1824,0,2571246,339,500000,17394718956
98,1844,0,2591770,822,500000,17394718956
99,1862,0,3623140,270,500000,17394718956
100,1881,0,2966881,818,500000,17394718956
101,1900,0,3305926,277,500000,17394718956
102,1924,0,2904335,568,500000,17394718956
103,1951,0,3988046,381,500000,17394718956
104,1975,0,4087377,360,500000,17394718956
105,1996,0,3602407,619,500000,17394718956
106,2017,0,5078551,297,500000,17394718956
107,2034,0,2924326,558,500000,17394718956
108,2049,0,4569462,679,500000,17394718956
109,2074,0,2969945,568,500000,17394718956
110,2096,0,3541541,668,500000,17394718956
111,2110,0,3178819,598,500000,17394718956
112,2134,0,3578722,421,500000,17394718956
113,2157,0,3404875,451,500000,17394718956
114,2175,0,3254512,611,500000,17394718956
115,2194,0,2861529,370,500000,17394718956
116,2214,0,2642627,451,500000,17394718956
117,2233,0,2349198,320,500000,17394718956
118,2246,0,3946001,411,500000,17394718956
119,2268,0,3467504,768,500000,17394718956
120,2286,0,2747639,248,500000,17394718956
121,2307,0,2963038,342,500000,17394718956
122,2326,0,2887515,230,500000,17394718956
123,2345,0,6514824,309,500000,17394718956
124,2364,0,3307522,625,500000,17394718956
125,2383,0,3600737,470,500000,17394718956
126,2404,0,3883522,715,500000,17394718956
127,2427,0,2858735,335,500000,17394718956
128,2448,0,3796229,565,500000,17394718956
129,2465,0,2986921,735,500000,17394718956
130,2484,0,3058996,232,500000,17394718956
131,2509,0,3139417,397,500000,17394718956
132,2527,0,2854042,379,500000,17394718956
133,2547,0,3378133,342,500000,17394718956
134,2567,0,4709826,531,500000,17394718956
135,2589,0,3137682,352,500000,17394718956
136,2608,0,4722199,178,500000,17394718956
137,2628,0,3610050,429,500000,17394718956
138,2652,0,4173580,601,500000,17394718956
139,2668,0,4495866,655,500000,17394718956
140,2699,0,4478694,639,500000,17394718956
141,2709,0,3426016,401,500000,17394718956
142,2728,0,3637956,398,500000,17394718956
143,2748,0,3261079,334,500000,17394718956
144,2770,0,9218563,377,500000,17394718956
145,2789,0,3404123,594,500000,17394718956
146,2809,0,3752333,615,500000,17394718956
147,2831,0,2957884,695,500000,17394718956
148,2851,0,3151743,438,500000,17394718956
149,2871,0,2496960,651,500000,17394718956
150,2891,0,3582924,511,500000,17394718956
151,2911,0,3362630,404,500000,17394718956
152,2931,0,4228085,728,500000,17394718956
153,2949,0,3781662,688,500000,17394718956
154,2968,0,4280192,357,500000,17394718956
155,2989,0,4070362,324,500000,17394718956
156,3013,0,3753057,634,500000,17394718956
157,3035,0,3689404,695,500000,17394718956
158,3054,0,3627610,344,500000,17394718956
159,3074,0,2450304,614,500000,17394718956
160,3090,0,4338822,364,500000,17394718956
161,3111,0,3051457,364,500000,17394718956
162,3130,0,2422908,521,500000,17394718956
163,3145,0,3195613,361,500000,17394718956
164,3163,0,2673419,615,500000,17394718956
165,3183,0,4744110,501,500000,17394718956
166,3200,0,2705820,418,500000,17394718956
167,3222,0,3126841,430,500000,17394718956
168,3243,0,4948110,672,500000,17394718956
169,3259,0,3520060,538,500000,17394718956
170,3282,0,3623482,561,500000,17394718956
171,3299,0,3614337,401,500000,17394718956
172,3327,0,3880451,380,500000,17394718956
173,3340,0,3575464,495,500000,17394718956
174,3366,0,3199852,285,500000,17394718956
175,3383,0,2604325,461,500000,17394718956
176,3403,0,3484438,484,500000,17394718956
177,3422,0,3227918,421,500000,17394718956
178,3439,0,3052949,619,500000,17394718956
179,3466,0,3371527,578,500000,17394718956
180,3486,0,3742517,719,500000,17394718956
181,3503,0,3195442,725,500000,17394718956
182,3525,0,2858191,561,500000,17394718956
183,3544,0,3217681,755,500000,17394718956
184,3563,0,3222686,588,500000,17394718956
185,3576,0,3425673,655,500000,17394718956
186,3600,0,3235165,548,500000,17394718956
187,3620,0,3509114,715,500000,17394718956
188,3641,0,3161125,565,500000,17394718956
189,3661,0,3359301,578,500000,17394718956
190,3688,0,2961228,581,500000,17394718956
191,3703,0,2778406,380,500000,17394718956
192,3725,0,3069183,328,500000,17394718956
193,3744,0,3749809,532,500000,17394718956
194,3760,0,3628293,378,500000,17394718956
195,3777,0,3327791,722,500000,17394718956
196,3799,0,3595316,729,500000,17394718956
197,3829,0,3475176,594,500000,17394718956
198,3846,0,3172458,672,500000,17394718956
199,3864,0,6995313,545,500000,17394718956
200,3884,0,2851833,502,500000,17394718956
201,3905,0,3503495,474,500000,17394718956
202,3928,0,3518526,735,500000,17394718956
203,3945,0,2801424,732,500000,17394718956
204,3965,0,3558106,514,500000,17394718956
205,3988,0,2919441,468,500000,17394718956
206,4006,0,3441396,371,500000,17394718956
207,4022,0,3903636,925,500000,17394718956
208,4045,0,4428743,812,500000,17394718956
209,4060,0,2809317,404,500000,17394718956
210,4080,0,3711621,584,500000,17394718956
211,4099,0,2742728,507,500000,17394718956
212,4119,0,3602821,1206,500000,17394718956
213,4136,0,3264646,689,500000,17394718956
214,4161,0,3201771,1273,500000,17394718956
215,4181,0,3311132,672,500000,17394718956
216,4200,0,2954673,685,500000,17394718956
217,4219,0,3355021,698,500000,17394718956
218,4243,0,3614649,412,500000,17394718956
219,4263,0,3666699,705,500000,17394718956
220,4287,0,3172217,595,500000,17394718956
221,4309,0,2880891,765,500000,17394718956
222,4328,0,2715315,336,500000,17394718956
223,4342,0,3145663,624,500000,17394718956
224,4368,0,2896677,588,500000,17394718956
225,4389,0,3177784,558,500000,17394718956
226,4409,0,3007380,483,500000,17394718956
227,4428,0,3392248,374,500000,17394718956
228,4449,0,3108461,408,500000,17394718956
229,4469,0,3146841,752,500000,17394718956
230,4486,0,3165749,475,500000,17394718956
231,4514,0,3201925,445,500000,17394718956
232,4533,0,3234905,401,500000,17394718956
233,4553,0,2336973,495,500000,17394718956
234,4566,0,4118475,401,500000,17394718956
235,4597,0,3194587,658,500000,17394718956
236,4614,0,3199542,558,500000,17394718956
237,4632,0,2519461,376,500000,17394718956
238,4646,0,5517510,351,500000,17394718956
239,4673,0,4674978,535,500000,17394718956
240,4693,0,3235160,756,500000,17394718956
241,4712,0,3141523,348,500000,17394718956
242,4733,0,3939876,548,500000,17394718956
243,4753,0,2880593,415,500000,17394718956
244,4773,0,3389659,551,500000,17394718956
245,4789,0,3561902,1049,500000,17394718956
246,4806,0,3073066,695,500000,17394718956
247,4825,0,3104095,488,500000,17394718956
248,4843,0,4404868,478,500000,17394718956
249,4862,0,3096077,344,500000,17394718956
250,4879,0,3041429,689,500000,17394718956
251,4900,0,3154486,404,500000,17394718956
252,4924,0,3248294,698,500000,17394718956
253,4947,0,3037906,420,500000,17394718956
254,4965,0,2961431,775,500000,17394718956
255,4984,0,3160062,751,500000,17394718956
256,5001,0,3508115,578,500000,17394718956
257,5027,0,3509158,538,500000,17394718956
258,5043,0,2530171,564,500000,17394718956
259,5063,0,3999280,441,500000,17394718956
260,5086,0,2909517,698,500000,17394718956
261,5106,0,3860699,635,500000,17394718956
262,5126,0,5734180,655,500000,17394718956
263,5150,0,4579141,735,500000,17394718956
264,5173,0,3300938,705,500000,17394718956
265,5195,0,3413428,471,500000,17394718956
266,5206,0,4993890,611,500000,17394718956
267,5233,0,3398720,645,500000,17394718956
268,5249,0,3194496,608,500000,17394718956
269,5273,0,3371311,775,500000,17394718956
270,5291,0,2940519,741,500000,17394718956
271,5309,0,3244420,458,500000,17394718956
272,5329,0,2705553,483,500000,17394718956
273,5342,0,3412339,555,500000,17394718956
274,5368,0,4153711,695,500000,17394718956
275,5390,0,3932347,695,500000,17394718956
276,5402,0,2895635,491,500000,17394718956
277,5423,0,3239442,408,500000,17394718956
278,5442,0,2835935,608,500000,17394718956
279,5462,0,2927148,762,500000,17394718956
280,5483,0,4616311,394,500000,17394718956
281,5503,0,5161369,795,500000,17394718956
282,5519,0,3153543,725,500000,17394718956
283,5542,0,3522984,548,500000,17394718956
284,5563,0,2999810,1126,500000,17394718956
285,5583,0,3198827,416,500000,17394718956
286,5602,0,3218603,662,500000,17394718956
287,5622,0,3572430,651,500000,17394718956
288,5643,0,3812310,441,500000,17394718956
289,5664,0,3239768,678,500000,17394718956
290,5684,0,3961792,561,500000,17394718956
291,5704,0,3620986,628,500000,17394718956
292,5726,0,2650115,398,500000,17394718956
293,5748,0,3236451,748,500000,17394718956
294,5770,0,3083036,678,500000,17394718956
295,5789,0,2985398,487,500000,17394718956
296,5808,0,3132217,437,500000,17394718956
297,5826,0,3129308,602,500000,17394718956
298,5848,0,3629756,658,500000,17394718956
299,5868,0,3648216,615,500000,17394718956
300,5887,0,3922607,538,500000,17394718956
301,5908,0,3168693,558,500000,17394718956
302,5916,0,3364276,865,500000,17394718956
303,5947,0,3026661,691,500000,17394718956
304,5966,0,3179658,541,500000,17394718956
305,5984,0,3387757,779,500000,17394718956
306,6002,0,3601440,371,500000,17394718956
307,6023,0,3196865,555,500000,17394718956
308,6044,0,3443893,595,500000,17394718956
309,6068,0,3004245,488,500000,17394718956
310,6087,0,4880389,715,500000,17394718956
311,6112,0,3444544,732,500000,17394718956
312,6134,0,3790673,581,500000,17394718956
313,6152,0,3460762,745,500000,17394718956
314,6171,0,3129097,749,500000,17394718956
315,6188,0,3505484,380,500000,17394718956
316,6205,0,3058623,568,500000,17394718956
317,6230,0,4928895,474,500000,17394718956
318,6255,0,3710265,632,500000,17394718956
319,6274,0,3936818,628,500000,17394718956
320,6293,0,3572783,655,500000,17394718956
321,6314,0,2500395,668,500000,17394718956
322,6334,0,3413237,504,500000,17394718956
323,6347,0,2560462,785,500000,17394718956
324,6362,0,3370902,725,500000,17394718956
325,6384,0,3495860,688,500000,17394718956
326,6403,0,3307223,629,500000,17394718956
327,6424,0,3194119,705,500000,17394718956
328,6442,0,2955996,388,500000,17394718956
329,6463,0,3301286,442,500000,17394718956
330,6477,0,3577812,488,500000,17394718956
331,6502,0,3204877,611,500000,17394718956
332,6524,0,3526088,645,500000,17394718956
333,6543,0,2791227,601,500000,17394718956
334,6562,0,3649028,679,500000,17394718956
335,6590,0,3651667,501,500000,17394718956
336,6608,0,3480876,762,500000,17394718956
337,6619,0,3589512,535,500000,17394718956
