id,gsn,shardId,latency(ns),dataGenTime(ns),totalBytes,totalTime(ns)
0,0,0,3703238,41781,2500000,71476709272
1,1,0,3390256,614,2500000,71476709272
2,2,0,2472711,278,2500000,71476709272
3,3,0,2022422,567,2500000,71476709272
4,4,0,1889889,341,2500000,71476709272
5,5,0,2113281,347,2500000,71476709272
6,6,0,2073800,635,2500000,71476709272
7,8,0,2276729,397,2500000,71476709272
8,10,0,3385355,655,2500000,71476709272
9,12,0,3822261,575,2500000,71476709272
10,14,0,2387754,283,2500000,71476709272
11,16,0,2319911,349,2500000,71476709272
12,18,0,4199818,282,2500000,71476709272
13,20,0,2632990,285,2500000,71476709272
14,22,0,2949894,248,2500000,71476709272
15,24,0,1763599,311,2500000,71476709272
16,26,0,2365879,352,2500000,71476709272
17,28,0,3761031,463,2500000,71476709272
18,30,0,2312396,544,2500000,71476709272
19,32,0,2876964,311,2500000,71476709272
20,34,0,4604993,438,2500000,71476709272
21,37,0,2378317,386,2500000,71476709272
22,40,0,2946086,337,2500000,71476709272
23,43,0,3401907,275,2500000,71476709272
24,46,0,2688465,275,2500000,71476709272
25,49,0,2891234,239,2500000,71476709272
26,52,0,2818108,253,2500000,71476709272
27,55,0,2270234,561,2500000,71476709272
28,58,0,4366325,262,2500000,71476709272
29,61,0,2291578,561,2500000,71476709272
30,64,0,2180909,261,2500000,71476709272
31,68,0,3856489,1139,2500000,71476709272
32,70,0,2169452,478,2500000,71476709272
33,75,0,1894549,288,2500000,71476709272
34,79,0,2185245,712,2500000,71476709272
35,82,0,1788180,658,2500000,71476709272
36,86,0,2366795,498,2500000,71476709272
37,90,0,3175020,511,2500000,71476709272
38,95,0,2648541,501,2500000,71476709272
39,99,0,3109033,625,2500000,71476709272
40,104,0,2761748,652,2500000,71476709272
41,108,0,2259231,338,2500000,71476709272
42,112,0,3316493,652,2500000,71476709272
43,116,0,2605203,413,2500000,71476709272
44,120,0,3946356,508,2500000,71476709272
45,126,0,3154984,515,2500000,71476709272
46,131,0,3368171,565,2500000,71476709272
47,134,0,2945394,548,2500000,71476709272
48,137,0,3011308,531,2500000,71476709272
49,142,0,2586188,712,2500000,71476709272
50,146,0,2848411,471,2500000,71476709272
51,150,0,2241767,327,2500000,71476709272
52,154,0,2744054,438,2500000,71476709272
53,157,0,2319816,548,2500000,71476709272
54,163,0,2465924,548,2500000,71476709272
55,166,0,3588720,545,2500000,71476709272
56,170,0,2608908,455,2500000,71476709272
57,174,0,2122275,411,2500000,71476709272
58,178,0,3361934,448,2500000,71476709272
59,182,0,2781402,458,2500000,71476709272
60,186,0,3033703,525,2500000,71476709272
61,190,0,2848073,565,2500000,71476709272
62,194,0,3253811,505,2500000,71476709272
63,198,0,4291990,528,2500000,71476709272
64,202,0,2135321,528,2500000,71476709272
65,206,0,2584435,538,2500000,71476709272
66,210,0,3728461,517,2500000,71476709272
67,214,0,2474477,505,2500000,71476709272
68,218,0,2404493,511,2500000,71476709272
69,222,0,2870589,468,2500000,71476709272
70,226,0,3039360,532,2500000,71476709272
71,230,0,3108425,514,2500000,71476709272
72,234,0,2042675,521,2500000,71476709272
73,238,0,2444234,494,2500000,71476709272
74,242,0,2984205,642,2500000,71476709272
75,246,0,2838154,468,2500000,71476709272
76,250,0,2625240,501,2500000,71476709272
77,255,0,3201619,739,2500000,71476709272
78,259,0,2818234,478,2500000,71476709272
79,263,0,1952100,531,2500000,71476709272
80,267,0,2525303,575,2500000,71476709272
81,270,0,2895000,478,2500000,71476709272
82,275,0,2718684,531,2500000,71476709272
83,278,0,2891134,481,2500000,71476709272
84,281,0,2351016,578,2500000,71476709272
85,285,0,2624688,10197,2500000,71476709272
86,289,0,1952428,575,2500000,71476709272
87,292,0,2183304,688,2500000,71476709272
88,297,0,2859407,632,2500000,71476709272
89,300,0,2027089,554,2500000,71476709272
90,304,0,1892307,662,2500000,71476709272
91,308,0,4558840,679,2500000,71476709272
92,312,0,2574541,681,2500000,71476709272
93,316,0,3411550,1279,2500000,71476709272
94,320,0,6445912,701,2500000,71476709272
95,324,0,1940045,532,2500000,71476709272
96,329,0,3707448,732,2500000,71476709272
97,333,0,2338543,728,2500000,71476709272
98,338,0,2154313,584,2500000,71476709272
99,341,0,1814459,595,2500000,71476709272
100,345,0,2294002,601,2500000,71476709272
101,349,0,4763789,625,2500000,71476709272
102,352,0,2119715,568,2500000,71476709272
103,357,0,3519896,762,2500000,71476709272
104,360,0,6555420,629,2500000,71476709272
